method,backbone,source,progress,eval,latest_ckpt,gsm8k,math500,aime,gsm_hard,asdiv,best_ckpt_avg,best_avg,notes
cot-sft,llama3-3b,Coconut,"train complete (checkpoint_25 present)","single-ckpt multi-dataset results",checkpoint_25,72.40%,8.40%,0.00%,20.24%,2.00%,-,-,"2026-03-29 的 batch all-eval 先跑出 GSM8K 955/1319，随后在 gsm_hard 因数据类型问题中断；2026-03-31 已对同一 checkpoint_25 补跑 gsm_hard/svamp/math500/asdiv/aime，其中 SVAMP = 74.40% (744/1000)；当前无 live multi_arith 产物"
cot-sft,qwen3-4b,Coconut,"train complete (checkpoint_25 present)","gsm8k only; all-eval failed",checkpoint_25,73.62%,-,-,-,-,-,-,"当前可汇报 GSM8K 来自 checkpoint_24 单独评测；batch all-eval 启动即撞上 port 29500 already in use"
simcot,llama3-3b,offline-side,"9/10 epoch (53982/59980)",sweep complete,ckpt-53982,59.97%,6.80%,0.00%,14.18%,72.41%,ckpt-53982,30.67%,"更深 offline-side run 的 9 个 checkpoint 已全部 sweep 完成；当前最佳即 ckpt-53982，主线同名 run 仍只到 ckpt-11996。2026-03-31 手工补测已补上 ckpt-53982 的 svamp/aime：SVAMP 75.50% (151/200)，AIME 0.00% (0/30)"
simcot,qwen3-4b,main,no checkpoint,no sweep,-,-,-,-,-,-,-,-,"目前只有 ep_8/ep_10 目录骨架，没有实际 checkpoint"
simcot+sircl,llama3-3b,main,"10/10 epoch (59980/59980)",sweep complete,ckpt-59980,63.23%,6.40%,0.00%,15.16%,72.23%,ckpt-53982,31.55%,"当前 llama3-3b 上最强的正向 SIRCL 结果线。2026-03-31 手工补测已补上 ckpt-53982 的 SVAMP 75.50%→71.00% 对照中的 SIRCL 侧：SVAMP 71.00% (142/200)，同 checkpoint 的 AIME 仍为 0.00% (0/30)"
simcot+sircl,qwen3-4b,main,no checkpoint,no sweep,-,-,-,-,-,-,-,-,"目前只有 ep_8/ep_10 目录骨架，没有实际 checkpoint"
codi,llama3-3b,main,"8/8 epoch (31992/31992)",sweep complete,ckpt-31992,60.50%,8.60%,0.00%,14.71%,72.54%,ckpt-27993,39.06%,"main-root comparison_matrix.csv 现已补齐；当前 live Best avg 最高"
codi,qwen3-4b,main,"7/8 epoch (41944/47936)",no sweep,ckpt-41944,-,-,-,-,-,-,-,"训练接近完成，但还没有对应 checkpoint sweep 结果"
codi+sircl,llama3-3b,main,"8/8 epoch (47984/47984)",sweep complete,ckpt-47984,41.47%,7.40%,0.00%,9.48%,67.55%,ckpt-11997,31.73%,"最佳 avg 出现在更早的 ckpt-11997；后期 checkpoint 的单项分数更高，但覆盖不完全一致"
codi+sircl,qwen3-4b,main,"8/10 epoch (47936/59920)",sweep complete,ckpt-47936,2.43%,4.20%,0.00%,0.91%,1.69%,ckpt-47936,1.85%,"已有 summary，但数值异常低，当前不适合作为正面 implicit 证据"
cot-sft,qwen3-1.7b,Coconut,"train complete (checkpoint_25 present)",all-eval failed,checkpoint_25,-,-,-,-,-,-,-,"checkpoint_1..25 已存在；batch eval 在 Coconut/dataset.py:29 因 answer 字段为 float 报 TypeError"
simcot,qwen3-1.7b,main,"10/10 epoch (29960/29960)",sweep complete,ckpt-29960,31.46%,10.00%,3.33%,7.66%,61.74%,ckpt-5992,26.86%,"现在已经是完整 10-checkpoint summary；最佳点在早期 ckpt-5992，后期 checkpoint 明显塌缩"
simcot+sircl,qwen3-1.7b,main,"10/10 epoch (29960/29960)",partial sweep,ckpt-29960(train),2.35%,4.60%,0.00%,0.91%,2.26%,ckpt-8988,2.02%*,"当前 summary 只覆盖 5/10 个 checkpoint，整体仍然接近塌缩"
codi,qwen3-1.7b,main,"8/8 epoch (23968/23968)",sweep complete,ckpt-23968,49.51%,11.00%,3.33%,13.72%,75.27%,ckpt-20972,30.57%,"qwen3-1.7b 当前最强可汇报组合；最佳点在 ckpt-20972，最终 ckpt-23968 略低"
codi+sircl,qwen3-1.7b,main,"8/8 epoch (23968/23968)",sweep complete,ckpt-23968,31.16%,10.20%,0.00%,8.04%,67.07%,ckpt-8988,23.29%,"已完成 checkpoint sweep；最优出现在较早的 ckpt-8988，后续 checkpoint 明显退化"
